sample_id,collector_id,miluska_id,date,year,river,location,r_mile,lat,long,live_dead,sex,stage,total,fork,weight_lbs,weight_g,cohort,first_age,second_age,final_age,scale_age,rps,rpsm,age_afs,skip_spawn,ovary_weight,egg_stage,age_id,comments,,,,,
34,34,3534,6/17/20,2020,Delaware River,Skinners Falls,295,41.670371,-75.058463,live,female,ripe,,458,1.4,635.0288,2020,,,,,no,,,,,,,,,,,,
35,35,3535,6/17/20,2020,Delaware River,Skinners Falls,295,41.670371,-75.058463,live,female,ripe,,482,1.7,771.1064,2020,,,,,yes,2,,N,,,,,,,,,
36,36,3536,6/17/20,2020,Delaware River,Skinners Falls,295,41.670371,-75.058463,live,female,ripe,,452,1.5,680.388,2020,,,,6,yes,1,5,N,,,,,,,,,
37,37,3537,6/17/20,2020,Delaware River,Skinners Falls,295,41.670371,-75.058463,dead,female,unknown,,462,1.5,680.388,2020,,,,6,yes,1,5,N,,,,,,,,,
38,38,3538,6/17/20,2020,Delaware River,Skinners Falls,295,41.670371,-75.058463,dead,male,unknown,,428,1,453.592,2020,,,,,no,,,,,,,no scale sample taken,,,,,
39,39,3539,6/17/20,2020,Delaware River,Skinners Falls,295,41.670371,-75.058463,dead,female,ripe,,466,1.5,680.388,2020,,,,,yes,2,,N,,,,,,,,,
40,40,3540,6/17/20,2020,Delaware River,Skinners Falls,295,41.670371,-75.058463,dead,male,ripe,,393,1.2,544.3104,2020,,,,,no,0,,N,,,,,,,,,
41,41,3541,6/17/20,2020,Delaware River,Skinners Falls,295,41.670371,-75.058463,dead,male,ripe,,422,1.5,680.388,2020,,,,5,no,0,5,N,,,,,,,,,
42,42,3542,6/17/20,2020,Delaware River,Skinners Falls,295,41.670371,-75.058463,dead,female,ripe,,484,2,907.184,2020,,,,8,yes,2,6,N,,,,,,,,,
43,43,3543,6/17/20,2020,Delaware River,Skinners Falls,295,41.670371,-75.058463,dead,male,ripe,,404,1.2,544.3104,2020,,,,5,no,0,5,N,,,,,,,,,
44,44,3544,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,live,male,ripe,,426,1.5,680.388,2020,,,,5,no,0,5,N,,,,,,,,,
45,45,3545,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,live,female,ripe,,448,1.5,680.388,2020,,,,,no,,,,,,,Moribund,,,,,
46,46,3546,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,live,male,ripe,,426,1.5,680.388,2020,,,,5,no,0,5,N,,,,Moribund,,,,,
47,47,3547,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,live,female,spent,,448,1.25,566.99,2020,,,,5,no,0,5,N,,,,Definetly moribund,,,,,
48,48,3548,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,live,male,ripe,,466,2,907.184,2020,,,,6,yes,1,5,N ,,,,,,,,,
49,49,3549,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,live,female,ripe,,458,1.5,680.388,2020,,,,7,yes,2,5,N,,,,Moribund,,,,,
50,50,3550,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,live,male,ripe,,401,1,453.592,2020,,,,,no,,,,,,,,,,,,
51,51,3551,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,live,male,ripe,,430,1.6,725.7472,2020,,,,5,no,0,5,N,,,,,,,,,
52,52,3552,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,dead,male,spent,,391,1,453.592,2020,,,,4,no,0,4,N,,,,,,,,,
53,53,3553,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,dead,female,ripe,,478,1.5,680.388,2020,,,,,no,,,,,,,,,,,,
54,54,3554,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,dead,male,unknown,,441,1.5,680.388,2020,,,,,no,,,,,,,too dead to collect some info,,,,,
55,55,3555,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,dead,unknown,unknown,,402,,0,2020,,,,,no,,,,,,,too dead to collect some info,,,,,
56,56,3556,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,dead,female,ripe,,469,1.65,748.4268,2020,,,,,no,,,,,,,,,,,,
57,57,3557,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,dead,female,unknown,,464,,0,2020,,,,,no,,,,,,,too dead to collect some info,,,,,
58,58,3558,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,dead,female,spent,,480,1.6,725.7472,2020,,,,,no,,,,,,,,,,,,
59,59,3559,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,dead,male,ripe,,428,1.55,703.0676,2020,,,,,no,,,,,,,,,,,,
60,60,3560,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,dead,female,ripe,,429,1.2,544.3104,2020,,,,6,yes,1,5,N,,,,,,,,,
61,61,3561,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,dead,male,ripe,,431,1.5,680.388,2020,,,,5,no,0,5,N,,,,,,,,,
62,62,3562,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,dead,female,ripe,,456,1.25,566.99,2020,,,,,no,,,,,,,,,,,,
63,63,3563,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,dead,male,ripe,,421,1.5,680.388,2020,,,,4,no,0,4,N,,,,,,,,,
64,64,3564,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,dead,male,ripe,,425,1.5,680.388,2020,,,,5,no,0,5,N,,,,,,,,,
65,65,3565,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,dead,female,ripe,,457,1.3,589.6696,2020,,,,6,yes,1,5,N,,,,,,,,,
66,66,3566,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,dead,male,ripe,,356,1,453.592,2020,,,,3,no,0,3,N,,,,,,,,,
67,67,3567,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,dead,female,ripe,,384,1.1,498.9512,2020,,,,4,yes,1,3,N ,,,,,,,,,
68,68,3568,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,dead,male,ripe,,432,1.7,771.1064,2020,,,,6,yes,2,4,N,,,,,,,,,
69,69,3569,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,dead,male,ripe,,370,0.9,408.2328,2020,,,,4,no,0,4,N,,,,,,,,,
70,70,3570,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,dead,male,ripe,,426,1.5,680.388,2020,,,,,no,0,,N,,,,,,,,,
71,71,3571,6/18/20,2020,Delaware River,Milford,247,41.308861,-74.797145,dead,female,ripe,,469,1.6,725.7472,2020,,,,6,no,0,6,N,,,,,,,,,
